PIDN,Ca,P,pH,SOC,Sand
8UXP2NBS,0.003610905,0.032701224,0.7690874,0.19337028,0.0012301982
8ZoV3KGT,0.0028608697,0.006785335,0.8685556,0.12126085,0.0005372919
8ajs2uG8,0.00073897844,0.005820142,0.70570296,0.28771603,2.1911166e-05
8bXnz62p,0.002803783,0.006801682,0.42412198,0.5621879,0.0040846635
8nO1O1LG,0.03647201,0.0005320176,0.7616739,0.20129195,3.0151843e-05
8xE1p8g8,0.0029275354,0.011558481,0.6645851,0.32091433,1.4474475e-05
8yMDVMRM,0.0007409913,0.010318809,0.7505687,0.23830529,6.6242246e-05
98R5VaPi,0.013450356,0.0025556001,0.94763005,0.022380354,0.01398361
9DcTz2Ua,0.14728743,0.00068597135,0.8095432,0.04236934,0.00011407636
9G7nfUrK,0.0006587482,0.0070804483,0.83181953,0.14629433,0.01414698
9O6GZ1HT,0.0078024785,0.0014562143,0.9716025,0.018530378,0.00060844683
9S7fCoAM,0.0012885461,0.05015792,0.34128717,0.24807388,0.3591925
9iQwmFJR,0.0024095655,0.0075570103,0.9134362,0.07590655,0.0006907321
A3Mt6SAQ,0.002929326,0.00022877,0.9947126,0.00039677473,0.0017325765
AJIsQIcV,0.0016324846,0.013793572,0.883649,0.09896271,0.0019622967
AMHKXMh8,0.01241411,0.00015219458,0.9840677,0.0033459284,2.0159805e-05
ASwA2J4E,0.0001528446,0.0060309586,0.68195516,0.081363656,0.23049727
AaFvEoHq,0.00028626632,0.0027102209,0.9645301,0.014403309,0.018070051
AiIPD6hX,0.0009563026,0.0045181415,0.42919457,0.5652907,4.029822e-05
AsIURvJS,0.0004408175,0.001360049,0.14763004,0.85056674,2.4809656e-06
AsvgbJ0C,0.00030884694,0.0066612526,0.25688565,0.7342425,0.0019017457
AxEhbkCM,0.0045567504,0.03947346,0.7929445,0.16279939,0.00022594527
B7VPkIpx,0.0026792395,0.0052122003,0.9616354,0.027298996,0.003174108
BBwHqHiH,0.004239794,0.008364796,0.51951206,0.4677851,9.8330274e-05
BMyps8hr,0.0034081861,0.004176112,0.7900728,0.20232216,2.0834777e-05
BUHS4dQw,0.00015762112,0.00039460204,0.038581513,0.9608631,3.1459815e-06
BZB3EYWQ,0.00017636335,0.0077894274,0.65579987,0.22377482,0.11245957
C5UPCZcL,0.29838085,0.0006040802,0.64778537,0.05320017,2.9586441e-05
C5gIfQbJ,0.0002011568,0.0011118553,0.009079655,0.98960704,2.7021161e-07
CDRuu4Pn,0.00025995902,0.00544082,0.6402803,0.031399753,0.3226192
CQhTYkqE,0.015257922,0.005761729,0.77868295,0.19976072,0.00053668994
CSEobMXv,0.0005001957,0.005495637,0.12743647,0.8665618,5.867116e-06
CYMQE4x0,0.0013425397,0.0007605008,0.9855236,0.010492375,0.0018810041
ChQdtl4J,0.002720944,0.055777702,0.6019223,0.27655646,0.06302261
ChnD1nrN,0.0013301597,0.015919115,0.96278656,0.019035237,0.00092898245
CvtbbIcq,0.008831882,0.0015192035,0.9581603,0.031369098,0.00011956381
Cxk06b77,0.0046155592,0.005878006,0.77059186,0.21738334,0.0015312264
D3QD3ZEJ,0.0002923352,0.0053278627,0.49022415,0.50271577,0.0014398728
D8J5C6lA,0.010323076,0.0010586849,0.94462883,0.04351631,0.0004732197
DCeQwYfT,0.00079060975,0.004432528,0.76673526,0.22773618,0.00030542962
DDEftkx3,1.1564904e-05,0.0039441623,0.19834974,0.043688744,0.75400573
DEwCfeDW,0.0025435684,0.008640737,0.4479778,0.5379566,0.0028812403
DMkIV4oL,0.00019044073,0.012611293,0.7686493,0.069837965,0.14871104
DnzGfbxS,0.0035523518,0.0037669786,0.731453,0.26120698,2.0669684e-05
DoZxo6f6,0.00050471147,0.010127032,0.8248694,0.15212211,0.012376805
DvhBPGIk,0.0006282229,0.009400984,0.7767982,0.21266294,0.0005096614
Dx7GoUcT,0.00029784784,0.01892878,0.13512693,0.06853638,0.7771101
E5hIjohO,0.011351612,0.0026797447,0.21993235,0.7659983,3.80911e-05
E6x4XGHt,0.00096726627,0.008972968,0.8906962,0.08896586,0.010397724
EDEpAzh1,0.0038682711,0.0075163525,0.63257587,0.35603812,1.4396306e-06
ETGudkQt,0.0015798713,0.01311909,0.8247498,0.15342075,0.007130525
EUleKrLJ,0.038014054,0.0007951466,0.9154562,0.045330837,0.00040367016
Ehw2Jz6s,0.00042043178,0.0047207414,0.89849174,0.09610199,0.0002652156
EjqzC4zH,0.0018972782,0.0042689764,0.9687477,0.022706226,0.0023798416
EkMZO3Qj,0.0014894278,0.029176032,0.6354907,0.2907129,0.043130886
EnoNXWvU,0.007161633,0.0016770574,0.97204363,0.015908694,0.0032089998
Epv8ANwr,0.0002702669,0.0051507605,0.4327343,0.5608147,0.0010299473
Etro9j0B,0.0033139635,0.0033816532,0.7287505,0.2639632,0.0005906964
F3MIZj76,0.00039848385,0.008184952,0.43220145,0.55885184,0.00036331365
FB8tU00K,0.00016590375,0.0045258002,0.24421895,0.7506685,0.00042089593
FLhxBGMK,0.020581186,0.013791804,0.6286415,0.33694014,4.5363453e-05
FRreR8ka,0.0028162114,0.046392467,0.34045044,0.5126796,0.097661294
FXne4oAV,0.0028733695,0.0015038146,0.97248286,0.022984052,0.00015577786
FaW764jk,0.0030090422,0.005283694,0.8665406,0.1230904,0.0020761925
FeAbMXly,0.0001225525,0.010799957,0.6887672,0.0648722,0.2354381
FeudaFXn,0.015930032,0.00013920855,0.982884,0.001009438,3.740139e-05
FldUmFeM,0.04831579,0.001782232,0.93446916,0.014372094,0.0010607545
Fnv5tfAm,0.0013391606,0.020898575,0.31950483,0.65696776,0.0012896575
FvrAd3Or,0.0045895413,0.0041814563,0.9535025,0.020189695,0.017536733
G48zHffi,0.0068229097,0.001930408,0.97090393,0.012490656,0.00785205
G76zCv5N,0.0003123382,0.008550566,0.88497347,0.10238756,0.0037759352
G7JGUdNf,0.012344866,0.009544074,0.75624907,0.22169352,0.0001685275
GCo6MONx,0.016465496,0.001039503,0.8533787,0.1288657,0.00025059143
GE0vbpVQ,0.0011512297,0.0028013873,0.9724504,0.021231037,0.0023659677
GN0DfOqt,0.0006005498,0.006231232,0.86432886,0.12053322,0.008306087
GNsTAb1v,0.003364056,0.005249147,0.61765426,0.373732,5.343363e-07
GPwmO21z,0.00040306052,0.006354138,0.58429086,0.40861082,0.0003410949
GQYpfLoh,0.004238223,0.0024942784,0.595115,0.39807808,7.437681e-05
GR9knT8n,0.00022916787,0.0043965434,0.1275975,0.8675185,0.0002583207
GXtFFbZy,0.0013614424,0.0074160355,0.70997584,0.27960446,0.0016421888
GYvzvvFD,0.00050467637,0.020138858,0.49119267,0.4802197,0.007944074
GemPjTJ9,0.00088983297,0.013588884,0.20957087,0.7744482,0.0015021905
GkLYRm1K,0.021379977,0.00013710794,0.97707635,0.001381831,2.4693685e-05
GmlqP8eI,0.0031188007,0.03328425,0.8135413,0.14960666,0.00044902315
GqkIrOvf,0.0006183916,0.0039817407,0.13389969,0.8614228,7.736677e-05
H0fsegPi,0.0017300253,0.058325227,0.6061117,0.1898075,0.14402547
H4dHpJjU,0.045412406,0.0005623766,0.87900144,0.07496489,5.8932706e-05
H5QwJCuU,0.046479873,0.0006944904,0.92253155,0.030146517,0.00014760438
H5uwmSZ0,0.0007778511,0.020918187,0.788563,0.13800178,0.051739145
H8MtbVoL,0.0057007438,0.01586884,0.76430535,0.21345739,0.0006677355
H9JrUYnp,0.0017765107,0.03455138,0.23010248,0.62292093,0.1106486
HHYmmHVk,8.927534e-05,0.004587378,0.2731294,0.019559285,0.7026347
HJ5U4uqL,0.00034393882,0.012273725,0.6664247,0.32069275,0.00026491468
HNQxYc4w,0.0004041225,0.007256661,0.95265245,0.03399167,0.0056950776
HQYhKHZ8,0.001962276,0.025194513,0.68698484,0.28549445,0.00036397384
HSCMx0MC,0.00015951868,0.0076180715,0.70936424,0.09258211,0.19027609
HXYuE0fx,0.09646198,0.00049225654,0.8782208,0.02477725,4.7600628e-05
HdKcxEWr,0.0027068688,0.0039677448,0.6279234,0.3645002,0.0009017682
HecW1iCC,0.004865053,0.009771426,0.5566965,0.42866457,2.5086902e-06
HpbKB8rv,0.00039617057,0.0015152179,0.01675006,0.98133755,1.0754052e-06
HrkoYjCg,0.00035448006,0.0017340716,0.11332917,0.88456637,1.5955915e-05
I5P2uquT,0.0024759972,0.0062390207,0.9020042,0.08874361,0.00053720333
I94qkDM7,0.00052961166,0.03668372,0.5718309,0.33186755,0.05908827
I9sQbtt8,0.00015155754,0.00075142214,0.013081404,0.98601204,3.5127694e-06
IFxgw6ZX,0.0022132297,0.01399899,0.64758503,0.3359378,0.0002649172
IPPPSyoU,0.00037479028,0.007864443,0.52049744,0.4710232,0.00024021349
IQOYQubU,0.032233093,0.0008283917,0.9244609,0.042363465,0.000114133894
IYNE2SxU,0.002406916,0.023476409,0.5494522,0.42442557,0.00023890432
IZRFk9kN,0.0009355572,0.004395578,0.8427454,0.15130576,0.00061776425
Iaq3v0t3,0.0040303804,0.00020448769,0.9943891,0.00080536405,0.0005706757
IbVwu1t6,0.00045220647,0.013587422,0.5053364,0.47967964,0.00094422314
IcHKTLyo,0.0069035105,0.013250639,0.44999388,0.5295201,0.00033186944
IpW80wVB,0.00049915875,0.013503746,0.7335393,0.24902587,0.0034319132
Itb0PYUV,0.036853753,0.0006320884,0.86867386,0.09368412,0.00015620462
J8fpSwS0,0.00019381837,0.0031178321,0.91552454,0.015549132,0.06561473
JE1SlbD0,0.0024654958,0.0006306579,0.30933896,0.68756115,3.7578332e-06
JEB4McNb,0.008765297,0.00056215096,0.9762122,0.014389247,7.1080365e-05
JEE4QVeQ,0.0045554484,0.010587705,0.91843474,0.06573871,0.0006834466
JJSEU2VQ,5.24421e-05,0.0059542144,0.52500856,0.11957651,0.34940824
JSsVriP2,0.0057886397,0.002999416,0.9705536,0.013123651,0.007534658
JUvQNiOK,0.001752227,0.0019247541,0.9469885,0.046003334,0.0033311811
JZbrRtm2,0.010383457,0.0015597601,0.9736674,0.011660976,0.0027284527
JcE9G92B,0.0013899553,0.0030155478,0.18917657,0.80638546,3.2406264e-05
JnNYpXHr,0.00070711947,0.0008915275,0.24537092,0.75298226,4.812298e-05
JzpbnOtz,0.00029071514,0.0054909037,0.8795385,0.07058863,0.04409129
JzzUhPQp,0.024211083,0.0001603242,0.97286725,0.0027433613,1.7932774e-05
K05R8dQK,0.00026302476,0.0027816026,0.26279813,0.7341037,5.3650216e-05
K17pG2mG,0.00110486,0.0049614804,0.95221233,0.00960922,0.032112166
K8BellUe,0.0026232211,0.0015888282,0.91150767,0.08427429,5.855517e-06
KJ2eH6rr,0.0069375974,0.0016517148,0.8481074,0.14330076,2.5049007e-06
KJEJ6Glk,0.00451516,0.00081920077,0.47229186,0.5223705,3.3473548e-06
KSbO0oXS,0.0021179593,0.00072495855,0.09975461,0.897387,1.5441581e-05
KXtvmd01,0.00019057714,0.0072236587,0.86709416,0.06627661,0.059214994
KYiJqBuJ,0.0062757386,0.0049753194,0.9646298,0.023827158,0.00029195094
KmbAyTcE,0.0018070285,0.0058120973,0.78293234,0.20892131,0.00052726956
KnNyl3rV,0.00086390664,0.0021589173,0.95370704,0.016357265,0.026912896
Kp2DG8TZ,0.00088111486,0.003388158,0.97349143,0.01589184,0.006347401
KqQtKWs5,0.0004450125,0.014171347,0.8764789,0.0120748235,0.09682987
Ku27g63R,0.13874777,0.00056034373,0.84289736,0.017774781,1.9769417e-05
L2aTVqDq,0.00021589786,0.0036091683,0.14926049,0.84683526,7.914281e-05
L5jvq6G4,0.00042417058,0.011322406,0.91614515,0.01627482,0.05583346
L91hYVQl,0.000786064,0.009161558,0.981556,0.005943788,0.0025526152
LINAMlbA,0.00026744645,0.010449375,0.19683582,0.783501,0.008946327
LJoUNXSx,0.0004134929,0.016248813,0.28728396,0.69547075,0.0005829839
LLtSiyWD,0.00025375464,0.0070016715,0.9537442,0.036911298,0.0020891132
LQJtV8kn,0.011859702,0.007814847,0.7714437,0.20884201,3.9722825e-05
LW9uddw7,0.0005614274,0.0013882479,0.037569232,0.9604799,1.1897148e-06
LZ6sdBTR,0.0048188176,0.00040706826,0.9713684,0.023324009,8.176247e-05
La2Vhnne,0.0018693832,0.0032651005,0.10143761,0.89268124,0.0007466676
LaUWSq9B,0.010033892,0.0026059675,0.8082256,0.17913163,2.9399266e-06
Lk4SfkPQ,0.002722444,0.003360356,0.22500396,0.7689123,9.992552e-07
LllC836d,0.00024790238,0.005775381,0.3299358,0.6616407,0.0024002285
LuGiGeWN,0.0005457764,0.020273881,0.44738632,0.4968325,0.03496154
LzcyHcWa,4.5814944e-05,0.0054516764,0.38971436,0.06540536,0.5393828
M7veP0H4,0.0010456479,0.022170803,0.32805187,0.3604258,0.28830582
MB8aaJUc,0.00018959324,0.0060078236,0.14902869,0.8434809,0.0012930782
MDpe2zuy,0.0021190562,0.03745138,0.7434492,0.2163001,0.0006802558
MEzdmEIU,0.00023125434,0.0052246097,0.9099884,0.07360841,0.01094732
MVnhtivm,0.00046766343,0.007941424,0.6776814,0.31342992,0.00047962018
MYU7WDis,0.0012645043,0.0026072941,0.98023146,0.01047041,0.005426421
MZFqh6yw,0.08581049,0.0022776837,0.86587477,0.04436297,0.001674132
Mdgy4SsO,0.0023517462,0.0008502179,0.252913,0.7438756,9.390164e-06
Mj8awnzy,0.00060019625,0.006392493,0.7421078,0.0343004,0.21659908
MpFPbUJy,0.043280236,0.00018863949,0.92627287,0.030247869,1.0365243e-05
Mqk7MFBM,0.0007329872,0.009753638,0.8993686,0.050292008,0.03985276
Mqs2t1Eo,0.0019767866,0.0054131364,0.40854523,0.58406264,2.2661125e-06
Mv3jFVxp,0.00028646356,0.005346684,0.7714745,0.21904774,0.0038445587
MxODTXvA,0.014280776,0.01325669,0.45525432,0.51713085,7.726514e-05
N46PbpPM,1.804069e-05,0.000993503,0.07059734,0.0013317723,0.92705935
N5S5F9Gk,0.00033601237,0.019106932,0.4091102,0.5087624,0.06268448
NLDg5fqw,0.0041514137,0.008467106,0.9063821,0.048295204,0.032704134
NOho2ZiM,0.14688167,0.000877914,0.80327207,0.048902683,6.5646294e-05
NUuY7PFU,0.064147785,0.0007198486,0.79721105,0.13788131,4.0007075e-05
NV1e8AEO,0.00013500477,0.008972632,0.45402345,0.21700531,0.31986365
NZLXROKC,0.005575046,0.0077488073,0.5132712,0.47293532,0.000469656
NaJo7C6o,0.0027747727,0.0024954122,0.93341374,0.060700286,0.00061576697
NgsyGkrO,0.0019418895,0.002199245,0.65706563,0.33878365,9.479694e-06
NjOx4Zpo,0.00013692793,0.0010857148,0.06895657,0.92981845,2.3604912e-06
NmQoI7x0,0.03234823,0.00039876427,0.961093,0.0060352976,0.00012462637
No4wkdLS,0.0010283354,0.014293066,0.96346813,0.016973685,0.0042367214
NouMwhOf,0.002300105,0.0035145304,0.8739891,0.12018029,1.5958745e-05
O6YAWd8C,0.0061676465,0.011216907,0.6019863,0.38046932,0.00015986095
OAXVphSh,0.02125035,0.0012109611,0.95735055,0.020045152,0.00014302116
OJBBhb6Q,9.548979e-05,0.0037854624,0.44223675,0.0011143311,0.552768
OSIQXImL,0.028933013,0.0041175955,0.52724904,0.4396522,4.8110607e-05
OUUFc5Zz,0.0002632717,0.010392186,0.8597935,0.08040832,0.049142685
OVk1lquT,0.0016478201,0.00168824,0.22643866,0.76994205,0.00028317815
OXdRxjzz,0.0007103514,0.0088013075,0.38247094,0.6077561,0.00026130726
OXxW2ekf,0.0004805455,0.0067717936,0.9236484,0.06852874,0.0005705558
OXz5OpqR,0.0036896537,0.0029162006,0.92262155,0.07002696,0.0007455761
OcBFW1AX,0.00030249904,0.013072278,0.20295314,0.7738325,0.00983964
Of9V2rpt,0.003632995,0.0099053895,0.7735525,0.21072689,0.002182244
OfLxPhbG,0.0018465044,0.0064038695,0.8260104,0.1640977,0.0016416027
Ojx2vi48,0.00068724406,0.011705861,0.95753175,0.012305526,0.01776951
P3M32iuT,0.00044637415,0.013643823,0.93754786,0.0055663525,0.042795558
P7olVzrO,0.0006798625,0.010355712,0.7871797,0.20021065,0.0015740674
PAPHErnv,0.00058214983,0.014960213,0.41382957,0.57005066,0.0005773164
PBjEtfXb,0.0002388934,0.0050571007,0.8359454,0.054251384,0.10450723
PZGpoBBj,0.013575212,0.00012342077,0.98480934,0.0014559139,3.6007623e-05
Pc2RrxXS,0.0010670075,0.0098154815,0.85307187,0.13597885,6.6773e-05
PcHQ4FOu,0.0023486621,0.050605834,0.5118749,0.42415237,0.011018209
PeNyTOVN,0.0008896994,0.00600733,0.739419,0.24971813,0.003965868
PhUPSU53,0.0024825362,0.007877745,0.47687685,0.5127552,7.640856e-06
PmUNeV2O,0.0009665674,0.023478037,0.93935436,0.009609814,0.026591163
PoDJ0uvK,0.033737265,0.0007900226,0.93908954,0.026305435,7.765096e-05
PsUJdJdg,0.0006398048,0.004042261,0.40206808,0.59308976,0.00016009343
Q3xLFx1f,0.0007093834,0.005539498,0.58616024,0.40757176,1.9157993e-05
QBGxCvdM,0.009210376,0.012979338,0.8151743,0.16215453,0.0004814698
QCEPyu6L,0.00032231593,0.005344064,0.37871137,0.6154331,0.00018916959
QEfwec4s,0.20371184,0.00050515897,0.6865771,0.109169,3.6946258e-05
QZ87Nnr3,0.0011931935,0.031162273,0.38372767,0.15387495,0.43004194
QlyGN9jv,0.00016693612,0.00976279,0.80767554,0.13704675,0.045347948
QqgWE1ny,0.0023097813,0.026648315,0.31818166,0.6512525,0.001607718
QrjjBpZd,0.00036482917,0.0030374539,0.07473519,0.9218585,4.109896e-06
QsaBiX7V,0.002369921,0.027968895,0.44908223,0.5178072,0.0027718768
QtBKJuZk,0.001663717,0.0072748987,0.93193865,0.056794867,0.00232782
QtPRO8OJ,0.0003668797,0.01260126,0.8903656,0.09015324,0.0065129884
R8XcsFnp,0.00019649346,0.0038705368,0.84235287,0.08827967,0.06530043
RROfRt9z,0.0023626313,0.0016468378,0.7514405,0.2445453,4.6409546e-06
RTcbiDGq,0.0006111884,0.012489219,0.8612131,0.12517458,0.0005119581
RVidM9g0,0.0045312806,0.0027117573,0.9144993,0.009052964,0.069204666
RZnQSH19,5.3476528e-05,0.0070979944,0.54130125,0.042131986,0.40941533
Rc4UK7fT,0.00037414455,0.012112019,0.36261788,0.61924815,0.0056477464
RcKBKh6B,0.00063966785,0.014246741,0.6180192,0.33057344,0.036520965
ReM5kDa5,0.0057594823,0.010514014,0.59362364,0.3897759,0.00032697967
RfntsotG,0.00013875305,0.008766189,0.8028497,0.05696761,0.13127778
